ZIP,Household Count,City/Town,County,Population,,,,,,,
90011,"106,042",Los Angeles,Los Angeles County,"106,042",,,,,,,
90650,"101,983",Norwalk,Los Angeles County,"101,983",,,,,,,
94565,"100,826",Pittsburg,Contra Costa County,"100,826",,,,,,,
92336,"100,571",Fontana,San Bernardino County,"100,571",,,,,,,
91331,"99,804",Pacoima,Los Angeles County,"99,804",,,,,,,
90044,"98,990",Los Angeles,Los Angeles County,"98,990",,,,,,,
92335,"96,704",Fontana,San Bernardino County,"96,704",,,,,,,
90805,"96,515",Long Beach,Los Angeles County,"96,515",,,,,,,
90250,"96,200",Hawthorne,Los Angeles County,"96,200",,,,,,,
90201,"95,134",Bell Gardens,Los Angeles County,"95,134",,,,,,,
91342,"92,580",Sylmar,Los Angeles County,"92,580",,,,,,,
90280,"92,262",South Gate,Los Angeles County,"92,262",,,,,,,
92683,"90,630",Westminster,Orange County,"90,630",,,,,,,
93307,"89,651",Bakersfield,Kern County,"89,651",,,,,,,
92503,"88,617",Riverside,Riverside County,"88,617",,,,,,,
91911,"87,799",Chula Vista,San Diego County,"87,799",,,,,,,
92345,"87,476",Hesperia,San Bernardino County,"87,476",,,,,,,
93722,"86,387",Fresno,Fresno County,"86,387",,,,,,,
92376,"85,727",Rialto,San Bernardino County,"85,727",,,,,,,
92805,"73,310",Anaheim,Orange County,"73,310",,,,,,,
92105,"72,688",San Diego,San Diego County,"72,688",,,,,,,
91706,"72,495",Baldwin Park,Los Angeles County,"72,495",,,,,,,
93536,"72,131",Lancaster,Los Angeles County,"72,131",,,,,,,
93065,"72,086",Simi Valley,Ventura County,"72,086",,,,,,,
90255,"71,654",Huntington Park,Los Angeles County,"71,654",,,,,,,
94536,"71,445",Fremont,Alameda County,"71,445",,,,,,,
94568,"71,068",Dublin,Alameda County,"71,068",,,,,,,
91730,"71,040",Rancho Cucamonga,San Bernardino County,"71,040",,,,,,,
95123,"70,952",San Jose,Santa Clara County,"70,952",,,,,,,
94509,"70,889",Antioch,Contra Costa County,"70,889",,,,,,,
94110,"69,679",San Francisco,San Francisco County,"69,679",,,,,,,
92021,"69,638",El Cajon,San Diego County,"69,638",,,,,,,
91766,"69,517",Pomona,Los Angeles County,"69,517",,,,,,,
94587,"69,502",Union City,Alameda County,"69,502",,,,,,,
92882,"69,472",Corona,Riverside County,"69,472",,,,,,,
90037,"69,064",Los Angeles,Los Angeles County,"69,064",,,,,,,
90631,"69,064",La Habra,Orange County,"69,064",,,,,,,
95687,"68,996",Vacaville,Solano County,"68,996",,,,,,,
93230,"68,572",Hanford,Kings County,"68,572",,,,,,,
95020,"68,365",Gilroy,Santa Clara County,"68,365",,,,,,,
95206,"68,031",Stockton,San Joaquin County,"68,031",,,,,,,
91402,"67,937",Panorama City,Los Angeles County,"67,937",,,,,,,
95624,"67,915",Elk Grove,Sacramento County,"67,915",,,,,,,
94513,"67,580",Brentwood,Contra Costa County,"67,580",,,,,,,
94541,"67,401",Hayward,Alameda County,"67,401",,,,,,,
92407,"67,207",San Bernardino,San Bernardino County,"67,207",,,,,,,
93906,"66,883",Salinas,Monterey County,"66,883",,,,,,,
92114,"66,487",San Diego,San Diego County,"66,487",,,,,,,
94080,"66,262",South San Francisco,San Mateo County,"66,262",,,,,,,
92630,"66,240",Lake Forest,Orange County,"66,240",,,,,,,
94538,"66,215",Fremont,Alameda County,"66,215",,,,,,,
95758,"66,153",Elk Grove,Sacramento County,"66,153",,,,,,,
90262,"66,073",Lynwood,Los Angeles County,"66,073",,,,,,,
91977,"65,497",Spring Valley,San Diego County,"65,497",,,,,,,
94015,"65,125",Daly City,San Mateo County,"65,125",,,,,,,
