ZIP,household_count,City/Town,County,Population
83856,3969,,,0
98001,12369,Auburn,King County,35842
98002,15279,Auburn,King County,36812
98003,20380,Federal Way,King County,51329
98004,20977,Bellevue,King County,39161
98005,9420,Bellevue,King County,22030
98006,14754,Bellevue,King County,39753
98007,12403,Bellevue,King County,27571
98008,10048,Bellevue,King County,27060
98010,2540,Black Diamond,King County,6128
98011,12424,Bothell,King County,27573
98012,28174,Bothell,Snohomish County,75555
98014,2858,Carnation,King County,7626
98019,4090,Duvall,King County,11281
98020,9379,Edmonds,Snohomish County,19323
98021,12629,Bothell,Snohomish County,34993
98022,9828,Enumclaw,King County,22163
98023,18777,Federal Way,King County,50778
98024,2083,Fall City,King County,5066
98025,51,Hobart,King County,0
98026,15884,Edmonds,Snohomish County,39035
98027,12071,Issaquah,King County,27915
98028,9362,Kenmore,King County,23611
98029,12667,Issaquah,King County,31227
98030,13519,Kent,King County,38798
98031,14342,Kent,King County,41615
98032,15639,Kent,King County,39126
98033,18211,Kirkland,King County,40425
98034,22488,Kirkland,King County,52636
98036,17228,Lynnwood,Snohomish County,42164
98037,12032,Lynnwood,Snohomish County,29720
98038,13157,Maple Valley,King County,37877
98039,1077,Medina,King County,2923
98040,10454,Mercer Island,King County,25464
98042,17365,Kent,King County,49338
98043,9493,Mountlake Terrace,Snohomish County,21347
98045,5871,North Bend,King County,15412
98047,2389,Pacific,King County,7014
98050,75,Preston,King County,73
98051,1292,Ravensdale,King County,3827
98052,34946,Redmond,King County,77324
98053,8707,Redmond,King County,22765
98055,9994,Renton,King County,24429
98056,15609,Renton,King County,36116
98057,6656,Renton,King County,12774
98058,16399,Renton,King County,42046
98059,15001,Renton,King County,41619
98065,5681,Snoqualmie,King County,15960
98068,720,Snoqualmie Pass,Kittitas County,528
98070,5616,Vashon,King County,10939
98072,9897,Woodinville,King County,25034
98074,10220,Sammamish,King County,31026
98075,8303,Sammamish,King County,25202
98077,4865,Woodinville,King County,14287
98087,16625,Lynnwood,Snohomish County,41849
98092,17532,Auburn,King County,50679
98101,13193,Seattle,King County,16302
98102,17944,Seattle,King County,25827
98103,27857,Seattle,King County,51878
98104,10803,Seattle,King County,15052
98105,20582,Seattle,King County,50302
98106,12107,Seattle,King County,28243
98107,16538,Seattle,King County,28170
98108,9096,Seattle,King County,23762
98109,23162,Seattle,King County,32251
98110,10728,Bainbridge Island,Kitsap County,24681
98112,11670,Seattle,King County,23456
98115,24966,Seattle,King County,54457
98116,14652,Seattle,King County,27871
98117,15230,Seattle,King County,36115
98118,19831,Seattle,King County,48874
98119,15323,Seattle,King County,25906
98121,15781,Seattle,King County,20562
98122,24942,Seattle,King County,41268
98125,21493,Seattle,King County,43993
98126,10824,Seattle,King County,21102
98133,24730,Seattle,King County,50921
98134,241,Seattle,King County,852
98136,8295,Seattle,King County,17420
98144,16381,Seattle,King County,32540
98146,10986,Seattle,King County,28088
98148,4382,Seattle,King County,10652
98154,0,Seattle,King County,0
98155,14526,Seattle,King County,35550
98158,0,Seattle,King County,0
98164,137,Seattle,King County,239
98166,9766,Seattle,King County,22418
98168,13338,Seattle,King County,35050
98174,0,Seattle,King County,0
98177,8178,Seattle,King County,21114
98178,10018,Seattle,King County,26760
98188,12025,Seattle,King County,27523
98195,0,Seattle,King County,2398
98198,15267,Seattle,King County,38942
98199,10737,Seattle,King County,22359
98201,15196,Everett,Snohomish County,30587
98203,14848,Everett,Snohomish County,36448
98204,18914,Everett,Snohomish County,41709
98207,0,Everett,Snohomish County,1143
98208,22534,Everett,Snohomish County,60723
98220,207,Acme,Whatcom County,577
98221,12177,Anacortes,Skagit County,22969
98222,341,Blakely Island,San Juan County,117
98223,18224,Arlington,Snohomish County,46117
98224,250,Baring,King County,220
98225,24202,Bellingham,Whatcom County,49667
98226,20609,Bellingham,Whatcom County,45703
98229,14392,Bellingham,Whatcom County,34157
98230,9395,Blaine,Whatcom County,18605
98232,1769,Bow,Skagit County,3939
98233,7295,Burlington,Skagit County,16952
98235,193,Clearlake,Skagit County,570
98236,3489,Clinton,Island County,6790
98237,2327,Concrete,Skagit County,4979
98238,44,Conway,Skagit County,45
98239,4062,Coupeville,Island County,7634
98240,1200,Custer,Whatcom County,3426
98241,1143,Darrington,Snohomish County,2150
98243,408,Deer Harbor,San Juan County,297
98244,1893,Deming,Whatcom County,3284
98245,2812,Eastsound,San Juan County,4088
98247,3257,Everson,Whatcom County,8468
98248,10576,Ferndale,Whatcom County,27147
98249,3283,Freeland,Island County,4372
98250,5998,Friday Harbor,San Juan County,8953
98251,2226,Gold Bar,Snohomish County,4703
98252,4441,Granite Falls,Snohomish County,9905
98253,1742,Greenbank,Island County,2106
98255,99,Hamilton,Skagit County,312
98256,359,Index,Snohomish County,318
98257,2385,La Conner,Skagit County,4484
98258,18397,Lake Stevens,Snohomish County,50582
98260,3296,Langley,Island County,5434
